molecule	from_var	from_value	to_var	to_value	contrast_name	group
c9orf72-dafinca-2020	condition	c9orf72	condition	iso	diff_expr_c9orf72_vs_iso	1
c9orf72-catanese-2021	condition	c9orf72	condition	iso	diff_expr_c9orf72_vs_iso	1
c9orf72-catanese-2021	condition	fus	condition	ctrl	diff_expr_fus_vs_ctrl	1
c9orf72-sareen-2013	condition	c9orf72	condition	ctrl	diff_expr_c9orf72_vs_ctrl	1
c9orf72-sommer-2022	condition	c9orf72	condition	ctrl	diff_expr_c9orf72_vs_ctrl	1
c9orf72-sterneckert-2020	condition	c9orf72	condition	ctrl	diff_expr_c9orf72_vs_ctrl	1
c9orf72-casteli-2021	condition	c9orf72	condition	ctrl	diff_expr_c9orf72_vs_ctrl	1
c9orf72-casteli-2021	knockdown	scramble	knockdown	scramble	diff_expr_c9orf72_vs_ctrl	1
c9orf72-casteli-2021	fraction	who	fraction	who	diff_expr_c9orf72_vs_ctrl	1
c9orf72-casteli-2021	condition	c9orf72	condition	c9orf72	c9orf72_srsf1_kd_effect	1
c9orf72-casteli-2021	knockdown	sfrsf1	knockdown	scramble	c9orf72_srsf1_kd_effect	1
c9orf72-casteli-2021	fraction	who	fraction	who	c9orf72_srsf1_kd_effect	1
c9orf72-casteli-2021	condition	ctrl	condition	ctrl	ctrl_srsf1_kd_effect	1
c9orf72-casteli-2021	knockdown	sfrsf1	knockdown	scramble	ctrl_srsf1_kd_effect	1
c9orf72-casteli-2021	fraction	who	fraction	who	ctrl_srsf1_kd_effect	1
c9orf72-casteli-2021	condition	c9orf72	condition	c9orf72	diff_expr_srsf1_c9orf72_vs_ctrl	1
c9orf72-casteli-2021	knockdown	sfrsf1	knockdown	scramble	diff_expr_srsf1_c9orf72_vs_ctrl	1
c9orf72-casteli-2021	fraction	who	fraction	who	diff_expr_srsf1_c9orf72_vs_ctrl	1
c9orf72-casteli-2021	condition	ctrl	condition	ctrl	diff_expr_srsf1_c9orf72_vs_ctrl	2
c9orf72-casteli-2021	knockdown	sfrsf1	knockdown	scramble	diff_expr_srsf1_c9orf72_vs_ctrl	2
c9orf72-casteli-2021	fraction	who	fraction	who	diff_expr_srsf1_c9orf72_vs_ctrl	2
c9orf72-casteli-2021	condition	c9orf72	condition	c9orf72	c9orf72_srsf1_localisation_effect	1
c9orf72-casteli-2021	knockdown	sfrsf1	knockdown	sfrsf1	c9orf72_srsf1_localisation_effect	1
c9orf72-casteli-2021	fraction	cyt	fraction	who	c9orf72_srsf1_localisation_effect	1
c9orf72-casteli-2021	condition	c9orf72	condition	c9orf72	diff_loc_c9orf72_srsf1_vs_scramble	1
c9orf72-casteli-2021	knockdown	sfrsf1	knockdown	sfrsf1	diff_loc_c9orf72_srsf1_vs_scramble	1
c9orf72-casteli-2021	fraction	cyt	fraction	who	diff_loc_c9orf72_srsf1_vs_scramble	1
c9orf72-casteli-2021	condition	c9orf72	condition	c9orf72	diff_loc_c9orf72_srsf1_vs_scramble	2
c9orf72-casteli-2021	knockdown	scramble	knockdown	scramble	diff_loc_c9orf72_srsf1_vs_scramble	2
c9orf72-casteli-2021	fraction	cyt	fraction	who	diff_loc_c9orf72_srsf1_vs_scramble	2
c9orf72-casteli-2021	condition	ctrl	condition	ctrl	diff_loc_ctrl_srsf1_vs_scramble	1
c9orf72-casteli-2021	knockdown	sfrsf1	knockdown	sfrsf1	diff_loc_ctrl_srsf1_vs_scramble	1
c9orf72-casteli-2021	fraction	cyt	fraction	who	diff_loc_ctrl_srsf1_vs_scramble	1
c9orf72-casteli-2021	condition	ctrl	condition	ctrl	diff_loc_ctrl_srsf1_vs_scramble	2
c9orf72-casteli-2021	knockdown	scramble	knockdown	scramble	diff_loc_ctrl_srsf1_vs_scramble	2
c9orf72-casteli-2021	fraction	cyt	fraction	who	diff_loc_ctrl_srsf1_vs_scramble	2
c9orf72-casteli-2021	condition	c9orf72	condition	c9orf72	diff_loc_scramble_ctrl_vs_c9orf72	1
c9orf72-casteli-2021	knockdown	scramble	knockdown	scramble	diff_loc_scramble_ctrl_vs_c9orf72	1
c9orf72-casteli-2021	fraction	cyt	fraction	who	diff_loc_scramble_ctrl_vs_c9orf72	1
c9orf72-casteli-2021	condition	ctrl	condition	ctrl	diff_loc_scramble_ctrl_vs_c9orf72	2
c9orf72-casteli-2021	knockdown	scramble	knockdown	scramble	diff_loc_scramble_ctrl_vs_c9orf72	2
c9orf72-casteli-2021	fraction	cyt	fraction	who	diff_loc_scramble_ctrl_vs_c9orf72	2
c9orf72-casteli-2021	condition	c9orf72	condition	c9orf72	diff_loc_srsf1_ctrl_vs_c9orf72	1
c9orf72-casteli-2021	knockdown	sfrsf1	knockdown	sfrsf1	diff_loc_srsf1_ctrl_vs_c9orf72	1
c9orf72-casteli-2021	fraction	cyt	fraction	who	diff_loc_srsf1_ctrl_vs_c9orf72	1
c9orf72-casteli-2021	condition	ctrl	condition	ctrl	diff_loc_srsf1_ctrl_vs_c9orf72	2
c9orf72-casteli-2021	knockdown	sfrsf1	knockdown	sfrsf1	diff_loc_srsf1_ctrl_vs_c9orf72	2
c9orf72-casteli-2021	fraction	cyt	fraction	who	diff_loc_srsf1_ctrl_vs_c9orf72	2
fus-desantis-2017	condition	fus	condition	ctrl	diff_expr_fus_vs_ctrl	1
fus-hawkins-2022	condition	fus	condition	ctrl	diff_expr_fus_vs_ctrl	1
fus-kapeli-2016	condition	fus	condition	ctrl	diff_expr_fus_vs_ctrl	1
hnrnpa2b1-markmiller-2021	condition	als	condition	ctrl	diff_expr_hnrnpa2b1kd_vs_ctrl	1
sod1-bhinge-2017	condition	sod1	condition	iso	diff_expr_sod1_vs_iso	1
sod1-moccia-2014	condition	sod1	condition	iso	diff_expr_sod1_vs_iso	1
sod1-tardbp-dash-2022	condition	sod1	condition	ctrl	diff_expr_sod1_vs_ctrl	1
sod1-tardbp-dash-2022	condition	tardbp	condition	ctrl	diff_expr_tardbp_vs_ctrl	1
sod1-wang-2017	condition	sod1	condition	iso	diff_expr_sod1_vs_iso	1
tardbp-dafinca-2020	condition	tardbp	condition	ctrl	diff_expr_tardbp_vs_ctrl	1
tardbp-kd-brown-2022	condition	tdp43kd	condition	ctrl	diff_expr_tardbpkd_vs_ctrl	1
tardbp-kd-klim-2022	condition	tdp43kd	condition	ctrl	diff_expr_tardbpkd_vs_ctrl	1
tardbp-melamed-2019	condition	tardbp	condition	ctrl	diff_expr_tardbp_vs_ctrl	1
tardbp-smith-2021	condition	tardbp	condition	ctrl	diff_expr_tardbp_vs_ctrl	1
tardbp-kd-kapeli-2016	condition	tdp43kd	condition	ctrl	diff_expr_tardbpkd_vs_ctrl	1
vcp-luisier-2018	condition	vcp	condition	ctrl	diff_expr_vcp_vs_ctrl	1
vcp-luisier-2018	timepoint	d35	timepoint	d35	diff_expr_vcp_vs_ctrl	1
vcp-ziff-2023	condition	vcp mutant	condition	wildtype	diff_expr_vcp_vs_wt	1
vcp-ziff-2023	treatment	untreated	treatment	untreated	diff_expr_vcp_vs_wt	1
vcp-ziff-2023	condition	tardbp mutant	condition	wildtype	diff_expr_tardbp_vs_wt	1
vcp-ziff-2023	treatment	untreated	treatment	untreated	diff_expr_tardbp_vs_wt	1
vcp-ziff-2023	condition	vcp mutant	condition	vcp mutant	vcp_ml240_effect	1
vcp-ziff-2023	treatment	ml240	treatment	untreated	vcp_ml240_effect	1
vcp-ziff-2023	condition	wildtype	condition	wildtype	wt_ml240_effect	1
vcp-ziff-2023	treatment	ml240	treatment	untreated	wt_ml240_effect	1
vcp-ziff-2023	condition	tardbp mutant	condition	tardbp mutant	tardbp_ml240_effect	1
vcp-ziff-2023	treatment	ml240	treatment	untreated	tardbp_ml240_effect	1
vcp-ziff-2023	condition	vcp mutant	condition	vcp mutant	differential_response_ml240_vcp_vs_wt	1
vcp-ziff-2023	treatment	ml240	treatment	untreated	differential_response_ml240_vcp_vs_wt	1
vcp-ziff-2023	condition	wildtype	condition	wildtype	differential_response_ml240_vcp_vs_wt	2
vcp-ziff-2023	treatment	ml240	treatment	untreated	differential_response_ml240_vcp_vs_wt	2
vcp-ziff-2023	condition	tardbp mutant	condition	tardbp mutant	differential_response_ml240_tardbp_vs_wt	1
vcp-ziff-2023	treatment	ml240	treatment	untreated	differential_response_ml240_tardbp_vs_wt	1
vcp-ziff-2023	condition	wildtype	condition	wildtype	differential_response_ml240_tardbp_vs_wt	2
vcp-ziff-2023	treatment	ml240	treatment	untreated	differential_response_ml240_tardbp_vs_wt	2
vcp-ziff-2023	condition	vcp mutant	condition	vcp mutant	vcp_untreated_localisation	1
vcp-ziff-2023	treatment	untreated	treatment	untreated	vcp_untreated_localisation	1
vcp-ziff-2023	fraction	nucleus	fraction	cytoplasm	vcp_untreated_localisation	1
vcp-ziff-2023	condition	vcp mutant	condition	vcp mutant	vcp_ml240_localisation	1
vcp-ziff-2023	treatment	ml240	treatment	ml240	vcp_ml240_localisation	1
vcp-ziff-2023	fraction	nucleus	fraction	cytoplasm	vcp_ml240_localisation	1
vcp-ziff-2023	condition	vcp mutant	condition	vcp mutant	diff_loc_vcp_ml240_vs_untreated	1
vcp-ziff-2023	treatment	ml240	treatment	ml240	diff_loc_vcp_ml240_vs_untreated	1
vcp-ziff-2023	fraction	nucleus	fraction	cytoplasm	diff_loc_vcp_ml240_vs_untreated	1
vcp-ziff-2023	condition	vcp mutant	condition	vcp mutant	diff_loc_vcp_ml240_vs_untreated	2
vcp-ziff-2023	treatment	untreated	treatment	untreated	diff_loc_vcp_ml240_vs_untreated	2
vcp-ziff-2023	fraction	nucleus	fraction	cytoplasm	diff_loc_vcp_ml240_vs_untreated	2
vcp-ziff-2023	condition	tardbp mutant	condition	tardbp mutant	tardbp_untreated_localisation	1
vcp-ziff-2023	treatment	untreated	treatment	untreated	tardbp_untreated_localisation	1
vcp-ziff-2023	fraction	nucleus	fraction	cytoplasm	tardbp_untreated_localisation	1
vcp-ziff-2023	condition	tardbp mutant	condition	tardbp mutant	tardbp_ml240_localisation	1
vcp-ziff-2023	treatment	ml240	treatment	ml240	tardbp_ml240_localisation	1
vcp-ziff-2023	fraction	nucleus	fraction	cytoplasm	tardbp_ml240_localisation	1
vcp-ziff-2023	condition	tardbp mutant	condition	tardbp mutant	diff_loc_tardbp_ml240_vs_untreated	1
vcp-ziff-2023	treatment	ml240	treatment	ml240	diff_loc_tardbp_ml240_vs_untreated	1
vcp-ziff-2023	fraction	nucleus	fraction	cytoplasm	diff_loc_tardbp_ml240_vs_untreated	1
vcp-ziff-2023	condition	tardbp mutant	condition	tardbp mutant	diff_loc_tardbp_ml240_vs_untreated	2
vcp-ziff-2023	treatment	untreated	treatment	untreated	diff_loc_tardbp_ml240_vs_untreated	2
vcp-ziff-2023	fraction	nucleus	fraction	cytoplasm	diff_loc_tardbp_ml240_vs_untreated	2
vcp-ziff-2023	condition	wildtype	condition	wildtype	wt_untreated_localisation	1
vcp-ziff-2023	treatment	untreated	treatment	untreated	wt_untreated_localisation	1
vcp-ziff-2023	fraction	nucleus	fraction	cytoplasm	wt_untreated_localisation	1
vcp-ziff-2023	condition	wildtype	condition	wildtype	wt_ml240_localisation	1
vcp-ziff-2023	treatment	ml240	treatment	ml240	wt_ml240_localisation	1
vcp-ziff-2023	fraction	nucleus	fraction	cytoplasm	wt_ml240_localisation	1
vcp-ziff-2023	condition	wildtype	condition	wildtype	diff_loc_wt_ml240_vs_untreated	1
vcp-ziff-2023	treatment	ml240	treatment	ml240	diff_loc_wt_ml240_vs_untreated	1
vcp-ziff-2023	fraction	nucleus	fraction	cytoplasm	diff_loc_wt_ml240_vs_untreated	1
vcp-ziff-2023	condition	wildtype	condition	wildtype	diff_loc_wt_ml240_vs_untreated	2
vcp-ziff-2023	treatment	untreated	treatment	untreated	diff_loc_wt_ml240_vs_untreated	2
vcp-ziff-2023	fraction	nucleus	fraction	cytoplasm	diff_loc_wt_ml240_vs_untreated	2
vcp-ziff-2023	condition	vcp mutant	condition	vcp mutant	diff_loc_untreated_vcp_vs_wt	1
vcp-ziff-2023	treatment	untreated	treatment	untreated	diff_loc_untreated_vcp_vs_wt	1
vcp-ziff-2023	fraction	nucleus	fraction	cytoplasm	diff_loc_untreated_vcp_vs_wt	1
vcp-ziff-2023	condition	wildtype	condition	wildtype	diff_loc_untreated_vcp_vs_wt	2
vcp-ziff-2023	treatment	untreated	treatment	untreated	diff_loc_untreated_vcp_vs_wt	2
vcp-ziff-2023	fraction	nucleus	fraction	cytoplasm	diff_loc_untreated_vcp_vs_wt	2
vcp-ziff-2023	condition	tardbp mutant	condition	tardbp mutant	diff_loc_untreated_tardbp_vs_wt	1
vcp-ziff-2023	treatment	untreated	treatment	untreated	diff_loc_untreated_tardbp_vs_wt	1
vcp-ziff-2023	fraction	nucleus	fraction	cytoplasm	diff_loc_untreated_tardbp_vs_wt	1
vcp-ziff-2023	condition	wildtype	condition	wildtype	diff_loc_untreated_tardbp_vs_wt	2
vcp-ziff-2023	treatment	untreated	treatment	untreated	diff_loc_untreated_tardbp_vs_wt	2
vcp-ziff-2023	fraction	nucleus	fraction	cytoplasm	diff_loc_untreated_tardbp_vs_wt	2
vcp-ziff-2023	condition	vcp mutant	condition	vcp mutant	diff_loc_ml240_vcp_vs_wt	1
vcp-ziff-2023	treatment	ml240	treatment	ml240	diff_loc_ml240_vcp_vs_wt	1
vcp-ziff-2023	fraction	nucleus	fraction	cytoplasm	diff_loc_ml240_vcp_vs_wt	1
vcp-ziff-2023	condition	wildtype	condition	wildtype	diff_loc_ml240_vcp_vs_wt	2
vcp-ziff-2023	treatment	ml240	treatment	ml240	diff_loc_ml240_vcp_vs_wt	2
vcp-ziff-2023	fraction	nucleus	fraction	cytoplasm	diff_loc_ml240_vcp_vs_wt	2
vcp-ziff-2023	condition	tardbp mutant	condition	tardbp mutant	diff_loc_ml240_tardbp_vs_wt	1
vcp-ziff-2023	treatment	ml240	treatment	ml240	diff_loc_ml240_tardbp_vs_wt	1
vcp-ziff-2023	fraction	nucleus	fraction	cytoplasm	diff_loc_ml240_tardbp_vs_wt	1
vcp-ziff-2023	condition	wildtype	condition	wildtype	diff_loc_ml240_tardbp_vs_wt	2
vcp-ziff-2023	treatment	ml240	treatment	ml240	diff_loc_ml240_tardbp_vs_wt	2
vcp-ziff-2023	fraction	nucleus	fraction	cytoplasm	diff_loc_ml240_tardbp_vs_wt	2
vcp-tyzack-2021	condition	vcp	condition	ctrl	diff_expr_d0_mut_vs_wt	1
vcp-tyzack-2021	timepoint	d0	timepoint	d0	diff_expr_d0_mut_vs_wt	1
vcp-tyzack-2021	condition	vcp	condition	ctrl	diff_expr_d3_mut_vs_wt	1
vcp-tyzack-2021	timepoint	d3	timepoint	d3	diff_expr_d3_mut_vs_wt	1
vcp-tyzack-2021	condition	vcp	condition	ctrl	diff_expr_d7_mut_vs_wt	1
vcp-tyzack-2021	timepoint	d7	timepoint	d7	diff_expr_d7_mut_vs_wt	1
vcp-tyzack-2021	condition	vcp	condition	ctrl	diff_expr_d14_mut_vs_wt	1
vcp-tyzack-2021	timepoint	d14	timepoint	d14	diff_expr_d14_mut_vs_wt	1
vcp-tyzack-2021	condition	vcp	condition	ctrl	diff_expr_d22_mut_vs_wt	1
vcp-tyzack-2021	timepoint	d22	timepoint	d22	diff_expr_d22_mut_vs_wt	1
vcp-tyzack-2021	condition	vcp	condition	ctrl	diff_expr_d35_mut_vs_wt	1
vcp-tyzack-2021	timepoint	d35	timepoint	d35	diff_expr_d35_mut_vs_wt	1
vcp-tyzack-2021	timepoint	d3	timepoint	d0	diff_dev_vcp_d3_vs_d0	1
vcp-tyzack-2021	condition	vcp	condition	vcp	diff_dev_vcp_d3_vs_d0	1
vcp-tyzack-2021	timepoint	d7	timepoint	d3	diff_dev_vcp_d7_vs_d3	1
vcp-tyzack-2021	condition	vcp	condition	vcp	diff_dev_vcp_d7_vs_d3	1
vcp-tyzack-2021	timepoint	d14	timepoint	d7	diff_dev_vcp_d14_vs_d7	1
vcp-tyzack-2021	condition	vcp	condition	vcp	diff_dev_vcp_d14_vs_d7	1
vcp-tyzack-2021	timepoint	d22	timepoint	d14	diff_dev_vcp_d22_vs_d14	1
vcp-tyzack-2021	condition	vcp	condition	vcp	diff_dev_vcp_d22_vs_d14	1
vcp-tyzack-2021	timepoint	d35	timepoint	d22	diff_dev_vcp_d35_vs_d22	1
vcp-tyzack-2021	condition	vcp	condition	vcp	diff_dev_vcp_d35_vs_d22	1
vcp-tyzack-2021	timepoint	d3	timepoint	d0	diff_dev_ctrl_d3_vs_d0	1
vcp-tyzack-2021	condition	ctrl	condition	ctrl	diff_dev_ctrl_d3_vs_d0	1
vcp-tyzack-2021	timepoint	d7	timepoint	d3	diff_dev_ctrl_d7_vs_d3	1
vcp-tyzack-2021	condition	ctrl	condition	ctrl	diff_dev_ctrl_d7_vs_d3	1
vcp-tyzack-2021	timepoint	d14	timepoint	d7	diff_dev_ctrl_d14_vs_d7	1
vcp-tyzack-2021	condition	ctrl	condition	ctrl	diff_dev_ctrl_d14_vs_d7	1
vcp-tyzack-2021	timepoint	d22	timepoint	d14	diff_dev_ctrl_d22_vs_d14	1
vcp-tyzack-2021	condition	ctrl	condition	ctrl	diff_dev_ctrl_d22_vs_d14	1
vcp-tyzack-2021	timepoint	d35	timepoint	d22	diff_dev_ctrl_d35_vs_d22	1
vcp-tyzack-2021	condition	ctrl	condition	ctrl	diff_dev_ctrl_d35_vs_d22	1
vcp-tyzack-2021	condition	vcp	condition	vcp	diff_loc_d0_mut_vs_wt	1
vcp-tyzack-2021	fraction	nuc	fraction	cyt	diff_loc_d0_mut_vs_wt	1
vcp-tyzack-2021	timepoint	d0	timepoint	d0	diff_loc_d0_mut_vs_wt	1
vcp-tyzack-2021	condition	ctrl	condition	ctrl	diff_loc_d0_mut_vs_wt	2
vcp-tyzack-2021	fraction	nuc	fraction	cyt	diff_loc_d0_mut_vs_wt	2
vcp-tyzack-2021	timepoint	d0	timepoint	d0	diff_loc_d0_mut_vs_wt	2
vcp-tyzack-2021	condition	vcp	condition	vcp	diff_loc_d3_mut_vs_wt	1
vcp-tyzack-2021	fraction	nuc	fraction	cyt	diff_loc_d3_mut_vs_wt	1
vcp-tyzack-2021	timepoint	d3	timepoint	d3	diff_loc_d3_mut_vs_wt	1
vcp-tyzack-2021	condition	ctrl	condition	ctrl	diff_loc_d3_mut_vs_wt	2
vcp-tyzack-2021	fraction	nuc	fraction	cyt	diff_loc_d3_mut_vs_wt	2
vcp-tyzack-2021	timepoint	d3	timepoint	d3	diff_loc_d3_mut_vs_wt	2
vcp-tyzack-2021	condition	vcp	condition	vcp	diff_loc_d7_mut_vs_wt	1
vcp-tyzack-2021	fraction	nuc	fraction	cyt	diff_loc_d7_mut_vs_wt	1
