"","sample_name","alignment_file","alignment_file_dir","isPairedEnd","strand_specificity","study","samplesheet_path"
"1","GSM5333281","GSM5333281_mature_hairpin_genome.sorted.bam","/nemo/lab/patanir/home/users/palk/Projects/0006-phase-condensation-of-repeats-in-neurons/analysis/00-manuscript/41-magen-et-al-miRNA-seq/nfcore/genome_quant/bam/",FALSE,2,"magen-et-al-miRNA-seq","/nemo/lab/patanir/home/users/palk/Projects/0006-phase-condensation-of-repeats-in-neurons//analysis/00-manuscript/41-magen-et-al-miRNA-seq/input_files/run-table.csv"
"2","GSM5333282","GSM5333282_mature_hairpin_genome.sorted.bam","/nemo/lab/patanir/home/users/palk/Projects/0006-phase-condensation-of-repeats-in-neurons/analysis/00-manuscript/41-magen-et-al-miRNA-seq/nfcore/genome_quant/bam/",FALSE,2,"magen-et-al-miRNA-seq","/nemo/lab/patanir/home/users/palk/Projects/0006-phase-condensation-of-repeats-in-neurons//analysis/00-manuscript/41-magen-et-al-miRNA-seq/input_files/run-table.csv"
"3","GSM5333283","GSM5333283_mature_hairpin_genome.sorted.bam","/nemo/lab/patanir/home/users/palk/Projects/0006-phase-condensation-of-repeats-in-neurons/analysis/00-manuscript/41-magen-et-al-miRNA-seq/nfcore/genome_quant/bam/",FALSE,2,"magen-et-al-miRNA-seq","/nemo/lab/patanir/home/users/palk/Projects/0006-phase-condensation-of-repeats-in-neurons//analysis/00-manuscript/41-magen-et-al-miRNA-seq/input_files/run-table.csv"
"4","GSM5333284","GSM5333284_mature_hairpin_genome.sorted.bam","/nemo/lab/patanir/home/users/palk/Projects/0006-phase-condensation-of-repeats-in-neurons/analysis/00-manuscript/41-magen-et-al-miRNA-seq/nfcore/genome_quant/bam/",FALSE,2,"magen-et-al-miRNA-seq","/nemo/lab/patanir/home/users/palk/Projects/0006-phase-condensation-of-repeats-in-neurons//analysis/00-manuscript/41-magen-et-al-miRNA-seq/input_files/run-table.csv"
"5","GSM5333285","GSM5333285_mature_hairpin_genome.sorted.bam","/nemo/lab/patanir/home/users/palk/Projects/0006-phase-condensation-of-repeats-in-neurons/analysis/00-manuscript/41-magen-et-al-miRNA-seq/nfcore/genome_quant/bam/",FALSE,2,"magen-et-al-miRNA-seq","/nemo/lab/patanir/home/users/palk/Projects/0006-phase-condensation-of-repeats-in-neurons//analysis/00-manuscript/41-magen-et-al-miRNA-seq/input_files/run-table.csv"
"6","GSM5333287","GSM5333287_mature_hairpin_genome.sorted.bam","/nemo/lab/patanir/home/users/palk/Projects/0006-phase-condensation-of-repeats-in-neurons/analysis/00-manuscript/41-magen-et-al-miRNA-seq/nfcore/genome_quant/bam/",FALSE,2,"magen-et-al-miRNA-seq","/nemo/lab/patanir/home/users/palk/Projects/0006-phase-condensation-of-repeats-in-neurons//analysis/00-manuscript/41-magen-et-al-miRNA-seq/input_files/run-table.csv"
"7","GSM5333288","GSM5333288_mature_hairpin_genome.sorted.bam","/nemo/lab/patanir/home/users/palk/Projects/0006-phase-condensation-of-repeats-in-neurons/analysis/00-manuscript/41-magen-et-al-miRNA-seq/nfcore/genome_quant/bam/",FALSE,2,"magen-et-al-miRNA-seq","/nemo/lab/patanir/home/users/palk/Projects/0006-phase-condensation-of-repeats-in-neurons//analysis/00-manuscript/41-magen-et-al-miRNA-seq/input_files/run-table.csv"
"8","GSM5333289","GSM5333289_mature_hairpin_genome.sorted.bam","/nemo/lab/patanir/home/users/palk/Projects/0006-phase-condensation-of-repeats-in-neurons/analysis/00-manuscript/41-magen-et-al-miRNA-seq/nfcore/genome_quant/bam/",FALSE,2,"magen-et-al-miRNA-seq","/nemo/lab/patanir/home/users/palk/Projects/0006-phase-condensation-of-repeats-in-neurons//analysis/00-manuscript/41-magen-et-al-miRNA-seq/input_files/run-table.csv"
"9","GSM5333290","GSM5333290_mature_hairpin_genome.sorted.bam","/nemo/lab/patanir/home/users/palk/Projects/0006-phase-condensation-of-repeats-in-neurons/analysis/00-manuscript/41-magen-et-al-miRNA-seq/nfcore/genome_quant/bam/",FALSE,2,"magen-et-al-miRNA-seq","/nemo/lab/patanir/home/users/palk/Projects/0006-phase-condensation-of-repeats-in-neurons//analysis/00-manuscript/41-magen-et-al-miRNA-seq/input_files/run-table.csv"
"10","GSM5333291","GSM5333291_mature_hairpin_genome.sorted.bam","/nemo/lab/patanir/home/users/palk/Projects/0006-phase-condensation-of-repeats-in-neurons/analysis/00-manuscript/41-magen-et-al-miRNA-seq/nfcore/genome_quant/bam/",FALSE,2,"magen-et-al-miRNA-seq","/nemo/lab/patanir/home/users/palk/Projects/0006-phase-condensation-of-repeats-in-neurons//analysis/00-manuscript/41-magen-et-al-miRNA-seq/input_files/run-table.csv"
