time	A	B	C	D	A	B	C	D	A	B	C	D	A	B	C	D	A	B	C	D	A	B	C	D	A	B	C	D	A	B	C	D	A	B	C	D	A	B	C	D	A	B	C	D	A	B	C	D	A	B	C	D	A	B	C	D	A	B	C	D	A	B	C	D	A	B	C	D	A	B	C	D	A	B	C	D	A	B	C	D	A	B	C	D	A	B	C	D
subject	BLT00021	BLT00021	BLT00021	BLT00021	TST0014	TST0014	TST0014	TST0014	BUH00018	BUH00018	BUH00018	BUH00018	UCH00089	UCH00089	UCH00089	UCH00089	TST0022	TST0022	TST0022	TST0022	BLT00083	BLT00083	BLT00083	BLT00083	BLT00036	BLT00036	BLT00036	BLT00036	BUH00076	BUH00076	BUH00076	BUH00076	BUH00045	BUH00045	BUH00045	BUH00045	BUH00112	BUH00112	BUH00112	BUH00112	BUH00183	BUH00183	BUH00183	BUH00183	BLT00097	BLT00097	BLT00097	BLT00097	UCH00007	UCH00007	UCH00007	UCH00007	BUH00008	BUH00008	BUH00008	BUH00008	BUH00063	BUH00063	BUH00063	BUH00063	BUH00073	BUH00073	BUH00073	BUH00073	BUH00192	BUH00192	BUH00192	BUH00192	BUH00044	BUH00044	BUH00044	BUH00044	BUH00038	BUH00038	BUH00038	BUH00038	BUH00071	BUH00071	BUH00071	BUH00071	BLT00054	BLT00054	BLT00054	BLT00054	BLT00073	BLT00073	BLT00073	BLT00073
group	treated	treated	treated	treated	untreated	untreated	untreated	untreated	treated	treated	treated	treated	treated	treated	treated	treated	treated	unknown	treated	treated	untreated	untreated	unknown	treated	untreated	treated	treated	treated	untreated	untreated	treated	treated	treated	treated	treated	treated	untreated	untreated	untreated	untreated	treated	treated	treated	treated	untreated	treated	untreated	untreated	treated	treated	treated	treated	untreated	untreated	untreated	untreated	treated	treated	treated	treated	treated	treated	treated	treated	untreated	treated	treated	treated	untreated	untreated	untreated	untreated	treated	treated	untreated	untreated	treated	treated	treated	treated	treated	treated	treated	treated	treated	treated	untreated	untreated
sample	BLT00021A	BLT00021B	BLT00021C	BLT00021D	TST0014A	TST0014B	TST0014C	TST0014D	BUH00018A	BUH00018B	BUH00018C	BUH00018D	UCH00089A	UCH00089B	UCH00089C	UCH00089D	TST0022A	TST0022B	TST0022C	TST0022D	BLT00083A	BLT00083B	BLT00083C	BLT00083D	BLT00036A	BLT00036B	BLT00036C	BLT00036D	BUH00076A	BUH00076B	BUH00076C	BUH00076D	BUH00045A	BUH00045B	BUH00045C	BUH00045D	BUH00112A	BUH00112B	BUH00112C	BUH00112D	BUH00183A	BUH00183B	BUH00183C	BUH00183D	BLT00097A	BLT00097B	BLT00097C	BLT00097D	UCH00007A	UCH00007B	UCH00007C	UCH00007D	BUH00008A	BUH00008B	BUH00008C	BUH00008D	BUH00063A	BUH00063B	BUH00063C	BUH00063D	BUH00073A	BUH00073B	BUH00073C	BUH00073D	BUH00192A	BUH00192B	BUH00192C	BUH00192D	BUH00044A	BUH00044B	BUH00044C	BUH00044D	BUH00038A	BUH00038B	BUH00038C	BUH00038D	BUH00071A	BUH00071B	BUH00071C	BUH00071D	BLT00054A	BLT00054B	BLT00054C	BLT00054D	BLT00073A	BLT00073B	BLT00073C	BLT00073D
hsa-let-7a-2-3p	9	7	17	4	8	6	1	2	18	9	37	1	12	19	23	5	10	15	22	14	15	9	13	5	37	11	4	15	5	3	7	15	16	19	6	6	4	7	2	5	15	18	7	16	8	1	10	13	15	5	3	2	17	12	9	8	3	3	0	7	10	5	0	1	0	0	0	3	7	9	2	7	4	24	6	9	6	5	24	22	3	20	26	35	5	5	15	3
hsa-let-7a-3p	68	122	14	222	5	13	38	8	214	8	56	50	19	95	26	13	8	7	9	9	8	11	27	38	100	94	220	19	4	23	12	6	73	32	101	11	14	8	56	2	6	11	4	2	4	1	3	59	49	55	4	8	113	128	60	9	42	27	2	6	3	4	0	1	200	50	12	0	115	12	277	24	2	47	104	12	29	95	122	13	96	189	32	57	171	5	22	2
hsa-let-7a-5p	90520	123184	11288	252456	10651	8756	32823	10667	79413	3290	83816	92285	32246	264396	72214	29433	15858	26773	30435	11849	13921	44113	49929	58056	48398	90163	146703	26632	7277	33311	9571	25432	142160	38486	254210	13135	49312	45310	75000	2143	4428	4013	4848	4399	7493	1565	2016	62587	37082	81582	6800	10237	73152	150226	90694	8243	84619	72879	7502	34343	8330	7866	251	3435	115639	28724	27294	3373	129328	7006	189965	19999	2885	23206	161839	11573	26289	220193	251117	33164	120386	173513	54220	137280	207742	8127	39545	2608
hsa-let-7b-3p	263	286	89	582	77	81	143	75	225	58	254	169	49	287	99	43	51	57	66	32	111	102	199	116	153	166	235	33	26	93	27	74	230	104	340	34	105	91	152	10	17	11	11	9	24	5	3	131	128	99	27	32	163	307	210	79	81	94	8	56	18	37	0	35	648	227	67	17	261	40	288	150	10	61	293	41	77	267	401	76	255	497	182	370	294	28	87	23
hsa-let-7b-5p	39605	41238	10673	52831	23414	11498	43349	11437	53276	3696	54450	65599	17771	82169	33124	13296	16959	31969	23478	9286	9608	31068	35892	23313	43301	34231	43837	29378	11885	39270	8744	25751	64339	23579	66987	15226	63377	50172	44160	6732	4828	4989	4913	3496	6801	799	2757	37279	27613	51075	13686	15176	30900	56265	67367	10876	47672	46206	6923	53489	11860	8762	443	4799	78975	40335	31938	10763	82022	6157	43144	12403	4384	12564	69304	13491	21996	92763	127509	24199	52119	86231	35741	68582	56860	7218	20296	2582
hsa-let-7c-3p	17	14	10	16	7	6	3	6	16	1	20	13	8	13	22	9	11	15	11	10	10	18	20	13	67	16	15	11	5	4	7	19	25	10	31	6	4	1	6	10	22	19	13	5	11	3	13	14	16	8	5	7	8	13	12	8	5	5	1	2	12	2	0	0	11	10	2	2	6	13	12	6	11	17	53	22	17	15	45	12	6	18	19	39	11	6	6	3
hsa-let-7c-5p	1104	1293	600	1982	454	420	1005	433	1112	229	1325	1511	303	1849	676	421	342	318	437	177	537	683	1226	689	21738	2791	1469	948	205	954	435	454	1873	1235	2019	394	553	537	850	58	108	72	104	83	140	63	73	820	591	829	174	154	2409	5337	1774	1302	830	798	73	438	142	194	3	85	2229	861	487	64	2398	380	1737	645	668	4042	2503	3409	4566	2212	2940	887	1297	2559	1237	2260	2163	171	600	125
