mirna,log2fc,log2se
hsa-miR-140-3p,-0.882,-0.090
hsa-miR-30d-5p,0.028,-0.091
hsa-miR-30e-5p,-0.114,-0.099
hsa-let-7d-5p,-0.093,-0.099
hsa-miR-425-5p,0.100,-0.099
hsa-let-7d-3p,0.192,-0.102
hsa-miR-181b-5p,-0.164,-0.107
hsa-miR-24-3p,-0.726,-0.108
hsa-miR-423-3p,0.083,-0.110
hsa-miR-125a-5p,0.039,-0.110
hsa-miR-197-3p,0.012,-0.111
hsa-miR-664a-5p,0.024,-0.112
hsa-miR-22-3p,0.442,-0.112
hsa-miR-181a-5p,-0.219,-0.113
hsa-miR-17-5p,-0.099,-0.114
hsa-miR-185-5p,-0.299,-0.114
hsa-miR-629-5p,1.180,-0.114
hsa-miR-1307-3p,-0.129,-0.115
hsa-miR-27b-3p,-0.693,-0.117
hsa-miR-342-3p,-0.085,-0.118
hsa-miR-93-5p,-0.592,-0.119
hsa-miR-320a,-0.070,-0.120
hsa-miR-584-5p,-0.243,-0.120
hsa-miR-186-5p,-0.978,-0.121
hsa-miR-23b-3p,-0.607,-0.121
hsa-miR-339-3p,-0.369,-0.122
hsa-miR-361-3p,-0.242,-0.122
hsa-let-7a-5p,0.075,-0.123
hsa-miR-139-3p,0.038,-0.123
hsa-miR-99b-5p,-0.466,-0.125
hsa-miR-628-3p,0.269,-0.125
hsa-miR-15a-5p,-0.440,-0.126
hsa-miR-148a-3p,-0.187,-0.127
hsa-miR-130a-3p,-0.731,-0.127
hsa-miR-222-3p,-0.089,-0.127
hsa-miR-19b-3p,-0.437,-0.127
hsa-miR-27a-3p,-1.185,-0.128
hsa-miR-20a-5p,-0.554,-0.128
hsa-miR-30c-5p,-1.261,-0.129
hsa-miR-23a-3p,-1.414,-0.131
hsa-miR-25-3p,0.664,-0.132
hsa-miR-1307-5p,-0.364,-0.133
hsa-miR-345-5p,0.071,-0.133
hsa-miR-15b-5p,-0.943,-0.134
hsa-miR-106b-3p,-0.281,-0.134
hsa-miR-328-3p,-0.256,-0.134
hsa-miR-223-5p,-0.909,-0.135
hsa-miR-151b/151a-5p,-0.336,-0.135
hsa-miR-155-5p,-0.464,-0.135
hsa-miR-98-5p,-0.595,-0.137
hsa-miR-7-5p,-0.170,-0.138
hsa-miR-532-5p,0.195,-0.138
hsa-miR-107,-1.004,-0.141
hsa-miR-10a-5p,-0.008,-0.141
hsa-miR-324-5p,0.536,-0.142
hsa-miR-152-3p,-1.482,-0.143
hsa-miR-361-5p,0.546,-0.143
hsa-miR-20b-5p,-0.224,-0.143
hsa-miR-126-3p,-1.045,-0.144
hsa-miR-200c-3p,-0.420,-0.145
hsa-let-7g-5p,-1.222,-0.145
hsa-miR-382-5p,-0.275,-0.145
hsa-let-7b-5p,0.790,-0.146
hsa-miR-339-5p,-0.893,-0.146
hsa-let-7i-5p,-0.692,-0.148
hsa-miR-326,-1.498,-0.149
hsa-miR-199b-3p,-1.427,-0.150
hsa-miR-660-5p,0.354,-0.150
hsa-miR-363-3p,0.833,-0.151
hsa-miR-151a-3p,-1.154,-0.152
hsa-miR-26a-5p,-1.350,-0.152
hsa-miR-320c,1.110,-0.152
hsa-miR-30e-3p,-1.270,-0.153
hsa-miR-191-5p,-1.861,-0.153
hsa-let-7e-5p,-0.482,-0.154
hsa-miR-744-5p,-0.533,-0.154
hsa-miR-320b,0.720,-0.154
hsa-miR-128-3p,-0.584,-0.156
hsa-miR-103b,-1.207,-0.157
hsa-miR-1301-3p,-0.187,-0.158
hsa-miR-199a-5p,-1.246,-0.158
hsa-miR-574-3p,-0.851,-0.160
hsa-miR-28-3p,-1.128,-0.160
hsa-miR-224-5p,-0.057,-0.160
hsa-miR-425-3p,-1.036,-0.161
hsa-miR-335-5p,-1.030,-0.161
hsa-miR-29c-3p,-1.070,-0.162
hsa-miR-196b-5p,0.936,-0.162
hsa-miR-223-3p,-1.325,-0.162
hsa-miR-432-5p,-0.052,-0.163
hsa-miR-126-5p,-1.187,-0.164
hsa-miR-101-3p,0.241,-0.164
hsa-miR-409-3p,-0.871,-0.166
hsa-miR-4454,0.057,-0.167
hsa-miR-26b-5p,-1.411,-0.169
hsa-miR-34a-5p,0.496,-0.172
hsa-miR-146b-5p,-1.794,-0.173
hsa-miR-148b-3p,-1.637,-0.173
hsa-miR-16-5p,1.072,-0.174
hsa-miR-199a-3p,-1.414,-0.174
hsa-miR-4433b-5p,-0.523,-0.175
hsa-miR-625-3p,0.057,-0.175
hsa-miR-30a-5p,-0.121,-0.176
hsa-miR-142-3p,-1.136,-0.177
hsa-miR-142-5p,-1.291,-0.177
hsa-miR-625-5p,-0.475,-0.177
hsa-miR-103a-3p,-1.298,-0.178
hsa-let-7c-5p,-0.070,-0.179
hsa-miR-485-3p,-0.923,-0.182
hsa-miR-29a-3p,-1.614,-0.182
hsa-miR-454-3p,-1.082,-0.182
hsa-miR-29b-3p,-1.272,-0.183
hsa-miR-370-3p,-0.236,-0.184
hsa-let-7b-3p,0.325,-0.185
hsa-miR-378a-3p,-0.062,-0.185
hsa-miR-340-5p,-1.326,-0.186
hsa-miR-125b-5p,0.089,-0.186
hsa-miR-1908-5p,0.587,-0.188
hsa-miR-192-5p,-0.509,-0.190
hsa-miR-143-3p,-0.419,-0.192
hsa-miR-146a-5p,-1.451,-0.193
hsa-miR-134-5p,0.056,-0.194
hsa-let-7f-5p,-1.166,-0.195
hsa-miR-182-5p,-0.921,-0.196
hsa-miR-379-5p,-0.927,-0.198
