Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,GEO_Accession (exp),Instrument,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,create_date,version,Sample Name,source_name,SRA Study,disease,Group,condition
SRR14631722,miRNA-Seq,75,483887625,PRJNA713778,SAMN19317455,181332847,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX10971672,GSM5333281,NextSeq 550,SINGLE,size fractionation,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2021-06-07T00:00:00Z,2021-05-24T13:10:00Z,1,GSM5333281,Blood plasma,SRP310247,,,Healthy control
SRR14631723,miRNA-Seq,75,570130500,PRJNA713778,SAMN19317454,213163570,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX10971673,GSM5333282,NextSeq 550,SINGLE,size fractionation,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2021-06-07T00:00:00Z,2021-05-24T13:10:00Z,1,GSM5333282,Blood plasma,SRP310247,,,Healthy control
SRR14631724,miRNA-Seq,75,948424800,PRJNA713778,SAMN19317453,356900282,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX10971571,GSM5333283,NextSeq 550,SINGLE,size fractionation,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2021-06-07T00:00:00Z,2021-05-24T13:13:00Z,1,GSM5333283,Blood plasma,SRP310247,,,Healthy control
SRR14631725,miRNA-Seq,75,621781125,PRJNA713778,SAMN19317452,231066783,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX10971572,GSM5333284,NextSeq 550,SINGLE,size fractionation,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2021-06-07T00:00:00Z,2021-05-24T13:11:00Z,1,GSM5333284,Blood plasma,SRP310247,,,Healthy control
SRR14631726,miRNA-Seq,75,457939200,PRJNA713778,SAMN19317451,165084579,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX10971573,GSM5333285,NextSeq 550,SINGLE,size fractionation,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2021-06-07T00:00:00Z,2021-05-24T13:11:00Z,1,GSM5333285,Blood plasma,SRP310247,,,Healthy control
SRR14631728,miRNA-Seq,75,476054175,PRJNA713778,SAMN19317449,170263532,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX10971575,GSM5333287,NextSeq 550,SINGLE,size fractionation,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2021-06-07T00:00:00Z,2021-05-24T13:14:00Z,1,GSM5333287,Blood plasma,SRP310247,,,Healthy control
SRR14631729,miRNA-Seq,75,472521300,PRJNA713778,SAMN19317448,170654436,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX10971576,GSM5333288,NextSeq 550,SINGLE,size fractionation,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2021-06-07T00:00:00Z,2021-05-24T13:12:00Z,1,GSM5333288,Blood plasma,SRP310247,,,Healthy control
SRR14631730,miRNA-Seq,75,847066800,PRJNA713778,SAMN19317472,305039893,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX10971577,GSM5333289,NextSeq 550,SINGLE,size fractionation,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2021-06-07T00:00:00Z,2021-05-24T13:13:00Z,1,GSM5333289,Blood plasma,SRP310247,,,Healthy control
SRR14631731,miRNA-Seq,75,547208250,PRJNA713778,SAMN19317471,216677678,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX10971578,GSM5333290,NextSeq 550,SINGLE,size fractionation,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2021-06-07T00:00:00Z,2021-05-24T13:12:00Z,1,GSM5333290,Blood plasma,SRP310247,,,Healthy control
SRR14631732,miRNA-Seq,75,553281150,PRJNA713778,SAMN19317387,208417656,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX10971579,GSM5333291,NextSeq 550,SINGLE,size fractionation,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2021-06-07T00:00:00Z,2021-05-24T13:14:00Z,1,GSM5333291,Blood plasma,SRP310247,,,Healthy control
SRR14631733,miRNA-Seq,75,826718475,PRJNA713778,SAMN19317386,309466529,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX10971580,GSM5333292,NextSeq 550,SINGLE,size fractionation,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2021-06-07T00:00:00Z,2021-05-24T13:14:00Z,1,GSM5333292,Blood plasma,SRP310247,,,Healthy control
SRR14631734,miRNA-Seq,75,867729000,PRJNA713778,SAMN19317385,326122934,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX10971581,GSM5333293,NextSeq 550,SINGLE,size fractionation,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2021-06-07T00:00:00Z,2021-05-24T13:14:00Z,1,GSM5333293,Blood plasma,SRP310247,,,Healthy control
SRR14631738,miRNA-Seq,75,1030681950,PRJNA713778,SAMN19317381,407424449,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX10971585,GSM5333297,NextSeq 550,SINGLE,size fractionation,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2021-06-07T00:00:00Z,2021-05-24T13:16:00Z,1,GSM5333297,Blood plasma,SRP310247,,,Healthy control
